city,lat,lon,performer,year
"New York, NY",40.7127281,-74.0060152,Adrian Ames,1930
"New York, NY",40.7127281,-74.0060152,Adrian Ames,1931
"New York, NY",40.7127281,-74.0060152,Adrian Ames,1934
"Rochester, NY",43.157285,-77.615214,Adrian Ames,1935
"Buffalo, NY",42.8867166,-78.8783922,Adrian Ames,1935
"New York, NY",40.7127281,-74.0060152,Adrian Ames,1935
"New York, NY",40.7127281,-74.0060152,Adrian Ames,1938
"Pittsburgh, PA",40.4416941,-79.9900861,Adrian Norris,1937
"New York, NY",40.7127281,-74.0060152,Adrienne,1936
"Chicago, IL",41.8755616,-87.6244212,Al Benson,1933
"Chicago, IL",41.8755616,-87.6244212,Al Benson,1934
"New York, NY",40.7127281,-74.0060152,Al DeMarco,1934
"New York, NY",40.7127281,-74.0060152,Al DeMarco,1936
"Philadelphia, PA",39.9527237,-75.1635262,Al DeMarco,1937
"Chicago, IL",41.8755616,-87.6244212,Al Garbell,1934
"Warren, PA",41.843949,-79.145045,Al Lucas,1935
"Cincinnati, OH",39.1014537,-84.5124602,Al Ray,1934
"Chicago, IL",41.8755616,-87.6244212,Al Ray,1934
"Olean, NY",42.0774779,-78.4298613,Alberta Vaughn,1935
"New York, NY",40.7127281,-74.0060152,Alberta Vaughn,1935
"Jamestown, NY",42.0970023,-79.2353259,Alberta Vaughn,1935
"Syracuse, NY",43.0481221,-76.1474244,Alberta Vaughn,1935
"Binghamton, NY",42.096968,-75.914341,Alberta Vaughn,1935
"Scranton, PA",41.4086874,-75.6621294,Alberta Vaughn,1935
"Louisville, KY",38.2542376,-85.759407,Alberta Vaughn,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Alberta Vaughn,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Alberta Vaughn,1937
"Minneapolis, MN",44.9772995,-93.2654692,Alberta Vaughn,1938
Washington DC,38.8950368,-77.0365427,Alden Garrison,1933
"Baltimore, MD",39.2908816,-76.610759,Alden Garrison,1934
Washington DC,38.8950368,-77.0365427,Alden Garrison,1937
"Albany, NY",42.6511674,-73.754968,Alfred Carmen,1935
"Chicago, IL",41.8755616,-87.6244212,Alice Rydner,1934
"Chicago, IL",41.8755616,-87.6244212,Alice White,1936
"Chicago, IL",41.8755616,-87.6244212,Alice White,1939
"Chicago, IL",41.8755616,-87.6244212,Alice White,1940
"Atlantic City, NJ",39.3642852,-74.4229351,Allen Carl,1934
"New York, NY",40.7127281,-74.0060152,Andy Cliff,1934
"Philadelphia, PA",39.9527237,-75.1635262,Anthony DiMeo,1937
"Atlantic City, NJ",39.3642852,-74.4229351,Arica Wild,1933
"New York, NY",40.7127281,-74.0060152,Arica Wild,1934
"Albany, NY",42.6511674,-73.754968,Arica Wild,1935
"Akron, OH",41.083064,-81.518485,Art Bernard,1937
"Chicago, IL",41.8755616,-87.6244212,Art West,1933
"Kansas City, MO",39.100105,-94.5781416,Art West,1935
"Miami, FL",25.7741728,-80.19362,Art West,1935
"Chicago, IL",41.8755616,-87.6244212,Art West,1935
"Cleveland, OH",41.5051613,-81.6934446,Art West,1936
"Mansfield, OH",40.75839,-82.5154471,Art West,1939
"New York, NY",40.7127281,-74.0060152,Arthur Budd,1930
"New York, NY",40.7127281,-74.0060152,Arthur Budd,1931
"New York, NY",40.7127281,-74.0060152,Arthur Budd,1932
"New York, NY",40.7127281,-74.0060152,Arthur Budd,1933
"Miami, FL",25.7741728,-80.19362,Arthur Budd,1939
"Salem, OR",44.9391565,-123.033121,Arthur La Delle,1937
"Reno, NV",39.5261206,-119.8126581,Arthur La Delle,1937
Washington DC,38.8950368,-77.0365427,Bab Garrison,1938
Washington DC,38.8950368,-77.0365427,Bab Garrison,1940
"Miami, FL",25.7741728,-80.19362,Babe Allen,1934
"Kansas City, MO",39.100105,-94.5781416,Babe Allen,1935
"Miami, FL",25.7741728,-80.19362,Babe Allen,1935
"Chicago, IL",41.8755616,-87.6244212,Babe Allen,1935
"Miami, FL",25.7741728,-80.19362,Babe Baker,1939
"New York, NY",40.7127281,-74.0060152,Barbette,1935
"New York, NY",40.7127281,-74.0060152,Barbette,1936
"Cincinnati, OH",39.1014537,-84.5124602,Bel Ager,1934
"Baltimore, MD",39.2908816,-76.610759,Bert Sherry,1934
"Baltimore, MD",39.2908816,-76.610759,Bert Sherry,1935
"Baltimore, MD",39.2908816,-76.610759,Bert Sherry,1937
"New York, NY",40.7127281,-74.0060152,Bert Wheeler,1931
"Seattle, WA",47.6038321,-122.3300624,Bert Wheeler,1937
"St. Louis, MO",38.6529545,-90.24111656024635,Bertie Bierman,1935
"Miami, FL",25.7741728,-80.19362,Bill Kennedy,1939
"Miami, FL",25.7741728,-80.19362,Bill Kennedy,1940
"Miami, FL",25.7741728,-80.19362,Bill Rohmer,1939
"Miami, FL",25.7741728,-80.19362,Bill Rohmer,1940
"Akron, OH",41.083064,-81.518485,Billie Berke,1937
"Baltimore, MD",39.2908816,-76.610759,Billie Beryl,1935
"Detroit, MI",42.3315509,-83.0466403,Billie Beryl,1937
"Kansas City, MO",39.100105,-94.5781416,Billie Beryl,1938
"Chicago, IL",41.8755616,-87.6244212,Billie Brannon,1933
"Chicago, IL",41.8755616,-87.6244212,Billie Brannon,1934
"Buffalo, NY",42.8867166,-78.8783922,Billie Brannon,1935
"Baltimore, MD",39.2908816,-76.610759,Billie Brannon,1935
"New York, NY",40.7127281,-74.0060152,Billie Brannon,1935
"Chicago, IL",41.8755616,-87.6244212,Billie Brannon,1935
"Syracuse, NY",43.0481221,-76.1474244,Billie Brannon,1935
"Asbury Park, NJ",40.2203907,-74.0120817,Billie Brannon,1935
"Pittsburgh, PA",40.4416941,-79.9900861,Billie Brannon,1936
"San Antonio, TX",29.4246002,-98.4951405,Billie Brennan,1936
"Kansas City, MO",39.100105,-94.5781416,Billie Brennan,1936
"Kansas City, MO",39.100105,-94.5781416,Billie Brennan,1937
"Rock Island, IL",41.4411786,-90.5766144,Billie Dale,1938
"Atlantic City, NJ",39.3642852,-74.4229351,Billie Davis,1933
"New York, NY",40.7127281,-74.0060152,Billie Davis,1934
Washington DC,38.8950368,-77.0365427,Billie Dove,1937
Washington DC,38.8950368,-77.0365427,Billie McAllister,1937
"Chicago, IL",41.8755616,-87.6244212,Billie McAllister,1939
"Chicago, IL",41.8755616,-87.6244212,Billie Russell,1933
"Chicago, IL",41.8755616,-87.6244212,Billie Russell,1934
"Kansas City, MO",39.100105,-94.5781416,Billie Russell,1935
"Miami, FL",25.7741728,-80.19362,Billie Russell,1935
"Chicago, IL",41.8755616,-87.6244212,Billie Russell,1935
"Miami, FL",25.7741728,-80.19362,"Billy (""Senorita"") Herrera",1933
"Milwaukee, WI",43.0349931,-87.922497,"Billy (""Senorita"") Herrera",1933
"Chicago, IL",41.8755616,-87.6244212,"Billy (""Senorita"") Herrera",1933
"Miami, FL",25.7741728,-80.19362,"Billy (""Senorita"") Herrera",1934
"Baltimore, MD",39.2908816,-76.610759,"Billy (""Senorita"") Herrera",1935
"Miami, FL",25.7741728,-80.19362,"Billy (""Senorita"") Herrera",1935
"Baltimore, MD",39.2908816,-76.610759,"Billy (""Senorita"") Herrera",1936
"Miami, FL",25.7741728,-80.19362,"Billy (""Senorita"") Herrera",1936
"San Antonio, TX",29.4246002,-98.4951405,"Billy (""Senorita"") Herrera",1936
"Seattle, WA",47.6038321,-122.3300624,"Billy (""Senorita"") Herrera",1937
"Philadelphia, PA",39.9527237,-75.1635262,"Billy (""Senorita"") Herrera",1937
"San Francisco, CA",37.7790262,-122.4199061,"Billy (""Senorita"") Herrera",1938
"Salinas, CA",36.6744117,-121.6550372,"Billy (""Senorita"") Herrera",1938
"San Francisco, CA",37.7790262,-122.4199061,"Billy (""Senorita"") Herrera",1939
"San Francisco, CA",37.7790262,-122.4199061,"Billy (""Senorita"") Herrera",1940
"Miami, FL",25.7741728,-80.19362,"Billy (""Senorita"") Herrera",1940
"New York, NY",40.7127281,-74.0060152,Billy ?,1937
"Baltimore, MD",39.2908816,-76.610759,Billy Beryl,1935
"Baltimore, MD",39.2908816,-76.610759,Billy Brill,1937
"Atlantic City, NJ",39.3642852,-74.4229351,Billy Brill,1937
"Pittsburgh, PA",40.4416941,-79.9900861,Billy Brill,1937
"Philadelphia, PA",39.9527237,-75.1635262,Billy Brill,1937
"Philadelphia, PA",39.9527237,-75.1635262,Billy Brill,1939
"Detroit, MI",42.3315509,-83.0466403,Billy Brill,1940
"San Francisco, CA",37.7790262,-122.4199061,Billy Byrne,1940
"Syracuse, NY",43.0481221,-76.1474244,Billy Hayes,1935
"Louisville, KY",38.2542376,-85.759407,Billy Hayes,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Billy Hayes,1937
"Zanesville, OH",39.9403453,-82.0131924,Billy Hayes,1938
OH,40.2253569,-82.6881395,Billy Hayes,1938
"Detroit, MI",42.3315509,-83.0466403,Billy Hayes,1940
"Zanesville, OH",39.9403453,-82.0131924,Billy Irwin,1938
OH,40.2253569,-82.6881395,Billy Irwin,1938
"Detroit, MI",42.3315509,-83.0466403,Billy Joy,1940
"Akron, OH",41.083064,-81.518485,Billy Kent,1936
"Syracuse, NY",43.0481221,-76.1474244,Billy O'Brien,1935
"New York, NY",40.7127281,-74.0060152,Billy O'Brien,1935
"Columbus, OH",39.9622601,-83.0007065,Billy Pinnell,1937
"New York, NY",40.7127281,-74.0060152,Billy Reed,1930
"New York, NY",40.7127281,-74.0060152,Billy Reed,1931
"Chicago, IL",41.8755616,-87.6244212,Billy Richards,1933
"Cincinnati, OH",39.1014537,-84.5124602,Billy Richards,1934
"Chicago, IL",41.8755616,-87.6244212,Billy Richards,1934
"Kansas City, MO",39.100105,-94.5781416,Billy Richards,1935
"San Francisco, CA",37.7790262,-122.4199061,Billy Richards,1935
"San Antonio, TX",29.4246002,-98.4951405,Billy Richards,1936
"Youngstown, OH",41.1035786,-80.6520161,Billy Richards,1936
"Reno, NV",39.5261206,-119.8126581,Billy Richards,1937
"Miami, FL",25.7741728,-80.19362,Billy Rohmer,1934
"Miami, FL",25.7741728,-80.19362,Billy Rohmer,1935
"Chicago, IL",41.8755616,-87.6244212,Billy Rohmer,1935
"Cleveland, OH",41.5051613,-81.6934446,Billy Rohmer,1936
"Seattle, WA",47.6038321,-122.3300624,Billy Rohmer,1937
"Shreveport, LA",32.5221828,-93.7651944,Billy Rohmer,1937
"Detroit, MI",42.3315509,-83.0466403,Billy Rohmer,1937
"Miami, FL",25.7741728,-80.19362,Billy Rohmer,1939
"Warren, PA",41.843949,-79.145045,Billy Turner,1935
"Albany, NY",42.6511674,-73.754968,Billy West,1934
"Rochester, NY",43.157285,-77.615214,Billy West,1935
"New York, NY",40.7127281,-74.0060152,Billy West,1935
"Saratoga Springs, NY",43.0821793,-73.7853915,Billy West,1935
"New York, NY",40.7127281,-74.0060152,Billy West,1938
"Miami, FL",25.7741728,-80.19362,Blackie Dennis,1939
"Miami, FL",25.7741728,-80.19362,Blackie Dennis,1940
"Reno, NV",39.5261206,-119.8126581,Bob Mack,1937
"Cincinnati, OH",39.1014537,-84.5124602,Bobbie Bell,1934
"Kansas City, MO",39.100105,-94.5781416,Bobbie Bell,1935
"San Antonio, TX",29.4246002,-98.4951405,Bobbie Bell,1936
"Kansas City, MO",39.100105,-94.5781416,Bobbie Bell,1936
"Chicago, IL",41.8755616,-87.6244212,Bobbie Bell,1936
"Akron, OH",41.083064,-81.518485,Bobbie Bell,1937
"Columbus, OH",39.9622601,-83.0007065,Bobbie Bell,1937
"Youngstown, OH",41.1035786,-80.6520161,Bobbie Bell,1937
"Detroit, MI",42.3315509,-83.0466403,Bobbie Bell,1940
"New York, NY",40.7127281,-74.0060152,Bobbie Davis,1934
"Chicago, IL",41.8755616,-87.6244212,Bobbie Davis,1938
"Chicago, IL",41.8755616,-87.6244212,Bobbie Davis,1939
"Detroit, MI",42.3315509,-83.0466403,Bobbie Kaye,1940
"Chicago, IL",41.8755616,-87.6244212,Bobbie La Marr,1933
"Jamestown, NY",42.0970023,-79.2353259,Bobbie La Marr,1934
"Albany, NY",42.6511674,-73.754968,Bobbie La Marr,1935
"Saratoga Springs, NY",43.0821793,-73.7853915,Bobbie La Marr,1935
"Columbus, OH",39.9622601,-83.0007065,Bobbie La Marr,1936
"New York, NY",40.7127281,-74.0060152,Bobbie La Marr,1936
"Youngstown, OH",41.1035786,-80.6520161,Bobbie La Marr,1936
"Philadelphia, PA",39.9527237,-75.1635262,Bobbie La Marr,1937
"Buffalo, NY",42.8867166,-78.8783922,Bobbie La Marr,1937
"Detroit, MI",42.3315509,-83.0466403,Bobbie La Marr,1937
"Youngstown, OH",41.1035786,-80.6520161,Bobbie La Marr,1937
"New York, NY",40.7127281,-74.0060152,Bobbie La Marr,1938
"Miami, FL",25.7741728,-80.19362,Bobbie La Marr,1939
"Miami, FL",25.7741728,-80.19362,Bobbie La Marr,1940
"Detroit, MI",42.3315509,-83.0466403,Bobbie La Marr,1940
"Chicago, IL",41.8755616,-87.6244212,Bobbie Macklin,1936
"Chicago, IL",41.8755616,-87.6244212,Bobbie Macklin,1938
"Warren, PA",41.843949,-79.145045,Bobbie Marlowe,1935
"Pittsburgh, PA",40.4416941,-79.9900861,Bobbie Marlowe,1935
"Benton Harbor, MI",42.1167065,-86.4541894,Bobby Allen,1934
"Louisville, KY",38.2542376,-85.759407,Bobby Allen,1936
"Lansing, MI",42.7337712,-84.5553805,Bobby Allen,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Bobby Allen,1936
"Dayton, OH",39.7589478,-84.1916069,Bobby Allen,1936
"Sandusky, OH",41.4561002,-82.7115813,Bobby Allen,1937
"Richmond, IN",33.715307,-117.7629546,Bobby Allen,1937
"Benton Harbor, MI",42.1167065,-86.4541894,Bobby Allen,1937
"Zanesville, OH",39.9403453,-82.0131924,Bobby Allen,1938
OH,40.2253569,-82.6881395,Bobby Allen,1938
"Massillon, OH",40.7965119,-81.5231597,Bobby Allen,1939
"Los Angeles, CA",34.0536909,-118.242766,Bobby Anderson,1933
"Miami, FL",25.7741728,-80.19362,Bobby Anderson,1933
"Kansas City, MO",39.100105,-94.5781416,Bobby Bell,1935
"Syracuse, NY",43.0481221,-76.1474244,Bobby Brennan,1935
"Kansas City, MO",39.100105,-94.5781416,Bobby Cummins,1936
"Philadelphia, PA",39.9527237,-75.1635262,Bobby Dean,1937
"Philadelphia, PA",39.9527237,-75.1635262,Bobby Dean,1940
"New York, NY",40.7127281,-74.0060152,Bobby Dell,1934
"Pittsburgh, PA",40.4416941,-79.9900861,Bobby Dell,1936
"New York, NY",40.7127281,-74.0060152,Bobby Dell,1936
"Pittsburgh, PA",40.4416941,-79.9900861,Bobby Dell,1937
"Philadelphia, PA",39.9527237,-75.1635262,Bobby Dell,1937
"New York, NY",40.7127281,-74.0060152,Bobby Dell,1939
Washington DC,38.8950368,-77.0365427,Bobby Ferguson,1938
"Detroit, MI",42.3315509,-83.0466403,Bobby Ferguson,1940
"Hartford, CT",41.7655582,-72.69061276146614,Bobby Gay,1938
"Los Angeles, CA",34.0536909,-118.242766,Bobby Gordon,1933
"San Antonio, TX",29.4246002,-98.4951405,Bobby Gordon,1936
"San Francisco, CA",37.7790262,-122.4199061,Bobby Gordon,1938
"Chicago, IL",41.8755616,-87.6244212,Bobby Grant,1939
"Syracuse, NY",43.0481221,-76.1474244,Bobby Hayes,1935
"Asbury Park, NJ",40.2203907,-74.0120817,Bobby Johnson,1935
"New York, NY",40.7127281,-74.0060152,Bobby Johnson,1935
"Philadelphia, PA",39.9527237,-75.1635262,Bobby Jones,1934
"Lansing, MI",42.7337712,-84.5553805,Bobby Jones,1936
"Philadelphia, PA",39.9527237,-75.1635262,Bobby Kork,1935
"Harrisburg, PA",40.2663107,-76.8861122,Bobby La Rue,1934
"Los Angeles, CA",34.0536909,-118.242766,Bobby La Rue,1935
"Massillon, OH",40.7965119,-81.5231597,Bobby La Rue,1936
"Los Angeles, CA",34.0536909,-118.242766,Bobby La Rue,1936
"Phoenix, AZ",33.4484367,-112.0741417,Bobby La Rue,1936
"East Liverpool, OH",40.6186756,-80.5772928,Bobby La Rue,1936
"Columbus, OH",39.9622601,-83.0007065,Bobby La Rue,1936
"Pittsburgh, PA",40.4416941,-79.9900861,Bobby La Rue,1936
"Youngstown, OH",41.1035786,-80.6520161,Bobby La Rue,1936
"Columbus, OH",39.9622601,-83.0007065,Bobby La Rue,1937
"Detroit, MI",42.3315509,-83.0466403,Bobby La Rue,1937
"East Liverpool, OH",40.6186756,-80.5772928,Bobby Lane,1937
"New York, NY",40.7127281,-74.0060152,Bobby Norman,1935
"Jamestown, NY",42.0970023,-79.2353259,Bobby Norman,1935
"Syracuse, NY",43.0481221,-76.1474244,Bobby Norman,1935
"Utica, NY",43.1009031,-75.2326641,Bobby Norman,1935
"Binghamton, NY",42.096968,-75.914341,Bobby Norman,1935
"Scranton, PA",41.4086874,-75.6621294,Bobby Norman,1935
OH,40.2253569,-82.6881395,Bobby Royce,1938
"Chicago, IL",41.8755616,-87.6244212,Bobby Stevens,1933
"Albany, NY",42.6511674,-73.754968,Bobby Sullivan,1939
"Saratoga Springs, NY",43.0821793,-73.7853915,Bobby Sullivan,1939
"Albany, NY",42.6511674,-73.754968,Bobby Sullivan,1940
"Hazleton, PA",40.9646867,-75.9852789,Bobby Trent,1935
"Syracuse, NY",43.0481221,-76.1474244,Bobby Verrill,1935
"Chicago, IL",41.8755616,-87.6244212,Bohannan,1933
"New York, NY",40.7127281,-74.0060152,Bonnie,1936
"New York, NY",40.7127281,-74.0060152,Bonnie Clark,1936
"Kansas City, MO",39.100105,-94.5781416,Bonnie Lee,1935
"Baltimore, MD",39.2908816,-76.610759,Boots Lavana,1934
"Buffalo, NY",42.8867166,-78.8783922,Boots Lavana,1934
"Corpus Christi, TX",27.7477253,-97.4014129,Boots Lavana,1936
"New York, NY",40.7127281,-74.0060152,Brennan,1930
"Baltimore, MD",39.2908816,-76.610759,Brooks Twins,1935
"Chicago, IL",41.8755616,-87.6244212,Bud Byron,1933
"Benton Harbor, MI",42.1167065,-86.4541894,Bud Hart,1937
"Benton Harbor, MI",42.1167065,-86.4541894,Buddy Mayo,1934
"Benton Harbor, MI",42.1167065,-86.4541894,Buddy Mayo,1937
"Detroit, MI",42.3315509,-83.0466403,Buddy Mayo,1937
"Kansas City, MO",39.100105,-94.5781416,Bunny Dorne,1935
"Zanesville, OH",39.9403453,-82.0131924,Buster Brant,1938
OH,40.2253569,-82.6881395,Buster Brant,1938
"East Liverpool, OH",40.6186756,-80.5772928,Buster Hewitt,1937
"Baltimore, MD",39.2908816,-76.610759,Cardie Woodie,1938
"Atlantic City, NJ",39.3642852,-74.4229351,Carl Clewis,1934
"Los Angeles, CA",34.0536909,-118.242766,Carl Clewis,1935
"Cincinnati, OH",39.1014537,-84.5124602,Carll Morgan,1934
"Louisville, KY",38.2542376,-85.759407,Carlo Levins,1936
"Lansing, MI",42.7337712,-84.5553805,Carlo Levins,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Carlo Levins,1937
"Cincinnati, OH",39.1014537,-84.5124602,Carmencita,1934
"Chicago, IL",41.8755616,-87.6244212,Carol Lee,1936
"Chicago, IL",41.8755616,-87.6244212,Carol Lee,1938
"Chicago, IL",41.8755616,-87.6244212,Carol Lee,1939
"Kansas City, MO",39.100105,-94.5781416,Carol Mack,1935
"New York, NY",40.7127281,-74.0060152,Carol Mack,1935
"San Francisco, CA",37.7790262,-122.4199061,Carroll Davis,1940
"Pittsburgh, PA",40.4416941,-79.9900861,Charles Alexander,1937
"Columbus, OH",39.9622601,-83.0007065,Charles Bell,1937
Washington DC,38.8950368,-77.0365427,Charles Davis,1937
"St. Louis, MO",38.6529545,-90.24111656024635,Charley Brugnone,1935
"San Antonio, TX",29.4246002,-98.4951405,Chicki Forrest,1936
"East Liverpool, OH",40.6186756,-80.5772928,Chickie Mears,1936
"Los Angeles, CA",34.0536909,-118.242766,Chickie Mears,1936
"Baltimore, MD",39.2908816,-76.610759,Clara Bow,1930
"Pittsburgh, PA",40.4416941,-79.9900861,Clara Bow,1936
"Pittsburgh, PA",40.4416941,-79.9900861,Clara Bow,1937
"Lansing, MI",42.7337712,-84.5553805,Clare St. Clair,1936
"New York, NY",40.7127281,-74.0060152,Clarenz Henderson,1936
"New York, NY",40.7127281,-74.0060152,Clarenz Henderson,1938
"Chicago, IL",41.8755616,-87.6244212,Claudetener,1938
"Minneapolis, MN",44.9772995,-93.2654692,Cleo Renee,1938
"Detroit, MI",42.3315509,-83.0466403,Cleo Renee,1940
"Welch, WV",37.4328886,-81.5844357,Cliff LaVerne,1930
"Warren, PA",41.843949,-79.145045,Cliftonn Argue,1935
"New York, NY",40.7127281,-74.0060152,Cliftonn Argue,1935
"Hazleton, PA",40.9646867,-75.9852789,Connie,1935
"Atlantic City, NJ",39.3642852,-74.4229351,Connie Miller,1934
"Syracuse, NY",43.0481221,-76.1474244,Connie Walsh,1935
"Binghamton, NY",42.096968,-75.914341,Connie Walsh,1935
"Scranton, PA",41.4086874,-75.6621294,Connie Walsh,1935
"New York, NY",40.7127281,-74.0060152,Connie Walsh,1935
"Lansing, MI",42.7337712,-84.5553805,Connie Walsh,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Connie Walsh,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Connie Walsh,1937
"Detroit, MI",42.3315509,-83.0466403,Connie Walsh,1937
"Baltimore, MD",39.2908816,-76.610759,Daisy Devoe,1934
"Baltimore, MD",39.2908816,-76.610759,Daisy Navarro,1934
"Los Angeles, CA",34.0536909,-118.242766,Dan Carson,1933
"Albany, NY",42.6511674,-73.754968,Danny Brown,1935
"New York, NY",40.7127281,-74.0060152,Danny Brown,1935
"Cleveland, OH",41.5051613,-81.6934446,Danny Brown,1936
"Akron, OH",41.083064,-81.518485,Danny Brown,1937
"Detroit, MI",42.3315509,-83.0466403,Danny Brown,1937
"Cleveland, OH",41.5051613,-81.6934446,Danny Brown,1939
"New Castle, PA",40.9999202,-80.3471856,Danny Brown,1939
"Detroit, MI",42.3315509,-83.0466403,Danny Brown,1939
"Detroit, MI",42.3315509,-83.0466403,Danny Brown,1940
"Syracuse, NY",43.0481221,-76.1474244,Danny King,1935
"Benton Harbor, MI",42.1167065,-86.4541894,Danny King,1937
"Albany, NY",42.6511674,-73.754968,Dave Shaw,1935
"Saratoga Springs, NY",43.0821793,-73.7853915,Dave Shaw,1935
"Miami, FL",25.7741728,-80.19362,Dave Shaw,1939
"New York, NY",40.7127281,-74.0060152,David J. Doyle,1935
"Lansing, MI",42.7337712,-84.5553805,Davy Lee,1936
"Chicago, IL",41.8755616,-87.6244212,Dawn Sis,1934
"Centralia, IL",38.5250491,-89.1334037,Deanna Durbin,1939
"Philadelphia, PA",39.9527237,-75.1635262,Dee Liddell,1937
"Albany, NY",42.6511674,-73.754968,Del Dreer,1935
"Albany, NY",42.6511674,-73.754968,Del Le Roy,1935
"Saratoga Springs, NY",43.0821793,-73.7853915,Del Le Roy,1935
"Cleveland, OH",41.5051613,-81.6934446,Del Le Roy,1936
"Detroit, MI",42.3315509,-83.0466403,Del Le Roy,1937
"Philadelphia, PA",39.9527237,-75.1635262,Del Le Roy,1939
"Detroit, MI",42.3315509,-83.0466403,Del Le Roy,1940
