city,lat,lon,performer,year
"Centralia, IL",38.5250491,-89.1334037,Delores Del Rio,1939
"Albany, NY",42.6511674,-73.754968,Dennis Griffin,1934
"Albany, NY",42.6511674,-73.754968,Dennis Griffin,1935
"Warren, PA",41.843949,-79.145045,Dickie Ray,1935
"Jamestown, NY",42.0970023,-79.2353259,Dickie Ray,1935
"Paterson, NJ",40.9167654,-74.171811,Dimples,1934
"Akron, OH",41.083064,-81.518485,Dion,1937
"Atlantic City, NJ",39.3642852,-74.4229351,Dixie DeLane,1933
"Pottstown, PA",40.2452976,-75.6496424,Dixie DeLane,1935
"Reading, PA",40.335345,-75.9279495,Dixie DeLane,1935
"Pottsville, PA",40.6851324,-76.1953701,Dixie DeLane,1935
"Philadelphia, PA",39.9527237,-75.1635262,Dixie Dixon,1935
"Louisville, KY",38.2542376,-85.759407,Dixie Dixon,1936
"Youngstown, OH",41.1035786,-80.6520161,Dixie Dixon,1936
"Dayton, OH",39.7589478,-84.1916069,Dixie Dixon,1936
"Columbus, OH",39.9622601,-83.0007065,Dixie Dixon,1937
"Detroit, MI",42.3315509,-83.0466403,Dixie Dixon,1937
"Chicago, IL",41.8755616,-87.6244212,Dixie Jean,1938
"Baltimore, MD",39.2908816,-76.610759,Dixie Lee,1936
"Chicago, IL",41.8755616,-87.6244212,Dixie Lee,1936
"Chicago, IL",41.8755616,-87.6244212,Dixie Lee,1937
"Pittsburgh, PA",40.4416941,-79.9900861,Dixie Lee,1938
"Lansing, MI",42.7337712,-84.5553805,Dolly Levins,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Dolly O'Day,1937
"Baltimore, MD",39.2908816,-76.610759,Don Holly,1935
"Baltimore, MD",39.2908816,-76.610759,Don Holly,1937
"San Francisco, CA",37.7790262,-122.4199061,Don Kenyard,1937
"San Francisco, CA",37.7790262,-122.4199061,Don Kenyard,1940
"Los Angeles, CA",34.0536909,-118.242766,Don La Rue,1932
"Los Angeles, CA",34.0536909,-118.242766,Don La Rue,1933
"Baltimore, MD",39.2908816,-76.610759,Don Niles,1936
"San Francisco, CA",37.7790262,-122.4199061,Don Niles,1936
"Sheboygan, WI",43.7508284,-87.71453,Don Rand,1934
"Baltimore, MD",39.2908816,-76.610759,Don Rand,1935
"Buffalo, NY",42.8867166,-78.8783922,Don Rand,1935
"San Antonio, TX",29.4246002,-98.4951405,Don Rand,1936
"Kansas City, MO",39.100105,-94.5781416,Don Rand,1936
"Detroit, MI",42.3315509,-83.0466403,Don Rand,1940
"Miami, FL",25.7741728,-80.19362,Donald Grey,1933
"Miami, FL",25.7741728,-80.19362,Donald Grey,1934
"Los Angeles, CA",34.0536909,-118.242766,Donald Grey,1935
"Kansas City, MO",39.100105,-94.5781416,Donald Grey,1936
"Indianapolis, IN",39.7683331,-86.1583502,Doran? West? Doran?,1930
"New York, NY",40.7127281,-74.0060152,Doran? West? Doran?,1931
"Chicago, IL",41.8755616,-87.6244212,Doris,1936
"Pittsburgh, PA",40.4416941,-79.9900861,Doris (Dimples) White,1937
"Youngstown, OH",41.1035786,-80.6520161,Dorothy Page,1936
"New York, NY",40.7127281,-74.0060152,Douglas Byng,1931
"Benton Harbor, MI",42.1167065,-86.4541894,Doyle Mack,1935
"Kansas City, MO",39.100105,-94.5781416,Doyle Mack,1936
"Chicago, IL",41.8755616,-87.6244212,Doyle Mack,1936
"Sandusky, OH",41.4561002,-82.7115813,Doyle Mack,1937
"Benton Harbor, MI",42.1167065,-86.4541894,Doyle Mack,1937
"Albany, NY",42.6511674,-73.754968,E. Russell,1935
"New York, NY",40.7127281,-74.0060152,E. Russell,1935
"Chicago, IL",41.8755616,-87.6244212,Earl Partello,1934
"New York, NY",40.7127281,-74.0060152,Ed-Na Link,1934
"Syracuse, NY",43.0481221,-76.1474244,Ed-Na Link,1935
"Hazleton, PA",40.9646867,-75.9852789,Ed-Na Link,1935
"Baltimore, MD",39.2908816,-76.610759,Ed-Na Link,1936
"New York, NY",40.7127281,-74.0060152,Eddie Adams,1931
"Syracuse, NY",43.0481221,-76.1474244,Eddie Crawford,1935
"Wappingers Falls, NY",41.5965635,-73.9112103,Eddie Crawford,1935
"Lawnside, NJ",39.8665025,-75.0282253,Eddie Cushenberry,1934
"New York, NY",40.7127281,-74.0060152,Eddie Green,1938
"Seattle, WA",47.6038321,-122.3300624,Eddie La Rue,1939
"Los Angeles, CA",34.0536909,-118.242766,Eddie Lee,1933
"San Francisco, CA",37.7790262,-122.4199061,Eddie Lee,1933
"Sheboygan, WI",43.7508284,-87.71453,Eddie Morton,1934
"Chicago, IL",41.8755616,-87.6244212,Eddie Morton,1934
"Kansas City, MO",39.100105,-94.5781416,Eddie Morton,1935
"San Antonio, TX",29.4246002,-98.4951405,Eddie Morton,1936
"Cleveland, OH",41.5051613,-81.6934446,Eddie Morton,1936
"Detroit, MI",42.3315509,-83.0466403,Eddie Morton,1937
"New York, NY",40.7127281,-74.0060152,Eddie Rogers,1934
"Chicago, IL",41.8755616,-87.6244212,Eddie White,1933
"Chicago, IL",41.8755616,-87.6244212,Edna Leonard,1934
"Akron, OH",41.083064,-81.518485,Edythe Bantos,1937
"Chicago, IL",41.8755616,-87.6244212,El-Kay,1937
"Kansas City, MO",39.100105,-94.5781416,Eli Madlof,1935
"Kansas City, MO",39.100105,-94.5781416,Eli Madlof,1936
"Kansas City, MO",39.100105,-94.5781416,Eli Madlof,1937
"Kansas City, MO",39.100105,-94.5781416,Eli Madlof,1938
"Miami, FL",25.7741728,-80.19362,Enesco?,1935
"Chicago, IL",41.8755616,-87.6244212,Enesco?,1935
"Miami, FL",25.7741728,-80.19362,Enna Davison,1935
"Chicago, IL",41.8755616,-87.6244212,Enna Davison,1935
"New York, NY",40.7127281,-74.0060152,Farfariello,1931
"Buffalo, NY",42.8867166,-78.8783922,Fay Norman,1935
"New York, NY",40.7127281,-74.0060152,Fay Norman,1935
"Jamestown, NY",42.0970023,-79.2353259,Fay Norman,1935
"Syracuse, NY",43.0481221,-76.1474244,Fay Norman,1935
"Warren, PA",41.843949,-79.145045,Fay Norman,1935
"Scranton, PA",41.4086874,-75.6621294,Fay Norman,1935
"Cincinnati, OH",39.1014537,-84.5124602,Fay Norman,1936
"South Bend, IN",38.622348,-105.518825,Fay Norman,1936
"Dayton, OH",39.7589478,-84.1916069,Fay Norman,1936
"Lansing, MI",42.7337712,-84.5553805,Fay Norman,1936
"Louisville, KY",38.2542376,-85.759407,Fay Norman,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Fay Norman,1936
"Nashville, TN",36.1622296,-86.7743531,Fay Norman,1937
"Benton Harbor, MI",42.1167065,-86.4541894,Fay Norman,1937
"St. Louis, MO",38.6529545,-90.24111656024635,Fay Norman,1938
"Pittsburgh, PA",40.4416941,-79.9900861,Ferne Proctor,1935
"Harrisburg, PA",40.2663107,-76.8861122,Fifi,1934
"Sandusky, OH",41.4561002,-82.7115813,Flo Arden,1937
"East Liverpool, OH",40.6186756,-80.5772928,Florence King,1936
"Los Angeles, CA",34.0536909,-118.242766,Florence King,1936
"Miami, FL",25.7741728,-80.19362,Frances,1934
"Kansas City, MO",39.100105,-94.5781416,Frances Daird,1935
"Kansas City, MO",39.100105,-94.5781416,Frances David,1935
"San Antonio, TX",29.4246002,-98.4951405,Frances David,1936
"Detroit, MI",42.3315509,-83.0466403,Frances David,1940
"Chicago, IL",41.8755616,-87.6244212,Frances Dee,1939
"New York, NY",40.7127281,-74.0060152,Frances Dunn,1930
"New York, NY",40.7127281,-74.0060152,Frances Dunn,1931
"New York, NY",40.7127281,-74.0060152,Frances Dunn,1932
"New York, NY",40.7127281,-74.0060152,Frances Dunn,1933
"Miami, FL",25.7741728,-80.19362,Frances Dunn,1939
"New York, NY",40.7127281,-74.0060152,Frances Fay,1930
"New York, NY",40.7127281,-74.0060152,Frances Fay,1931
"Miami, FL",25.7741728,-80.19362,Frances Hall,1938
"New York, NY",40.7127281,-74.0060152,Frances La Verne,1934
"Youngstown, OH",41.1035786,-80.6520161,Frances La Verne,1936
"Albany, NY",42.6511674,-73.754968,Frances Lee,1935
"Minneapolis, MN",44.9772995,-93.2654692,Frances Lee,1938
"San Francisco, CA",37.7790262,-122.4199061,Francis Blair,1933
"Seattle, WA",47.6038321,-122.3300624,Francis Blair,1936
"San Francisco, CA",37.7790262,-122.4199061,Francis Blair,1936
"Salt Lake City, UT",40.7596198,-111.8867975,Francis Blair,1936
"Youngstown, OH",41.1035786,-80.6520161,Francis Blair,1936
"Reno, NV",39.5261206,-119.8126581,Francis Blair,1937
"Kansas City, MO",39.100105,-94.5781416,Francis Blair,1939
"Colorado Springs, CO",38.8339578,-104.8253485,Francis Blair,1939
"Syracuse, NY",43.0481221,-76.1474244,Francis Bouche,1935
OH,40.2253569,-82.6881395,Francis Loite,1938
"New York, NY",40.7127281,-74.0060152,Francis Renault,1930
"Atlantic City, NJ",39.3642852,-74.4229351,Francis Renault,1931
"Los Angeles, CA",34.0536909,-118.242766,Francis Renault,1932
"San Francisco, CA",37.7790262,-122.4199061,Francis Renault,1932
"New York, NY",40.7127281,-74.0060152,Francis Renault,1932
"Asbury Park, NJ",40.2203907,-74.0120817,Francis Renault,1934
"Hartford, CT",41.7655582,-72.69061276146614,Francis Renault,1935
"Akron, OH",41.083064,-81.518485,Francis Renault,1936
"Lansing, MI",42.7337712,-84.5553805,Francis Renault,1936
"Chicago, IL",41.8755616,-87.6244212,Francis Renault,1936
"Akron, OH",41.083064,-81.518485,Francis Renault,1937
"Hartford, CT",41.7655582,-72.69061276146614,Francis Renault,1937
"Philadelphia, PA",39.9527237,-75.1635262,Francis Renault,1937
"Battle Creek, MI",42.3192548,-85.1824269,Francis Renault,1940
"Philadelphia, PA",39.9527237,-75.1635262,Francis Russell,1939
"Baltimore, MD",39.2908816,-76.610759,Francis Stillman,1935
"New Orleans, LA",29.9499323,-90.0701156,Francis Stillman,1935
"Kansas City, MO",39.100105,-94.5781416,Francis Stillman,1938
"Detroit, MI",42.3315509,-83.0466403,Francis Stillman,1940
"Massillon, OH",40.7965119,-81.5231597,Francis Strom,1936
"Akron, OH",41.083064,-81.518485,Francis Strom,1936
"New York, NY",40.7127281,-74.0060152,Francois Densmore,1930
"Chicago, IL",41.8755616,-87.6244212,Frank Doran,1933
"San Francisco, CA",37.7790262,-122.4199061,Frank Doran,1940
"New York, NY",40.7127281,-74.0060152,Frank E. Carroll,1938
"Olean, NY",42.0774779,-78.4298613,Frank Perry,1935
"Warren, PA",41.843949,-79.145045,Frank Perry,1935
"Benton Harbor, MI",42.1167065,-86.4541894,Frank Stroud,1935
"Philadelphia, PA",39.9527237,-75.1635262,Frankie Gondone,1940
"Kansas City, MO",39.100105,-94.5781416,Frankie Shroud,1936
"Chicago, IL",41.8755616,-87.6244212,Frankie Shroud,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Frankie Stroud,1934
"Benton Harbor, MI",42.1167065,-86.4541894,Frankie Stroud,1937
"New York, NY",40.7127281,-74.0060152,Fred Moore,1931
"Los Angeles, CA",34.0536909,-118.242766,Fred Munroe,1932
"San Francisco, CA",37.7790262,-122.4199061,Fred Noll,1933
"Baltimore, MD",39.2908816,-76.610759,Freddie Phillips,1935
"Philadelphia, PA",39.9527237,-75.1635262,Freddie Phillips,1940
"San Francisco, CA",37.7790262,-122.4199061,Freddie Renault,1938
"San Francisco, CA",37.7790262,-122.4199061,Freddie Renault,1939
"San Francisco, CA",37.7790262,-122.4199061,Freddie Renault,1940
"San Francisco, CA",37.7790262,-122.4199061,Freddie Wheeler,1940
"San Francisco, CA",37.7790262,-122.4199061,Freddy Wheeler,1940
"New York, NY",40.7127281,-74.0060152,Fredricka,1939
"Atlantic City, NJ",39.3642852,-74.4229351,Fritz Cantz,1934
"Miami, FL",25.7741728,-80.19362,Fritzie Feltz,1939
"Lansing, MI",42.7337712,-84.5553805,Funny Fanny,1936
"Lima, OH",40.7399785,-84.105006,Funny Fanny,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Funny Fanny,1936
"Dayton, OH",39.7589478,-84.1916069,Funny Fanny,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Funny Fanny,1937
"Zanesville, OH",39.9403453,-82.0131924,Funny Fanny,1938
"Minneapolis, MN",44.9772995,-93.2654692,Funny Fanny,1938
"Miami, FL",25.7741728,-80.19362,Gabby Lee,1933
"Chicago, IL",41.8755616,-87.6244212,Gale Page,1939
"Benton Harbor, MI",42.1167065,-86.4541894,Garbo,1936
"Baltimore, MD",39.2908816,-76.610759,Garrison,1931
"Baltimore, MD",39.2908816,-76.610759,Garry Teasdale,1935
"Albany, NY",42.6511674,-73.754968,Garry Teasdale,1935
"Buffalo, NY",42.8867166,-78.8783922,Garry Teasdale,1935
"Lansing, MI",42.7337712,-84.5553805,Gay Byerd,1936
"New York, NY",40.7127281,-74.0060152,Geane Ray,1939
"Syracuse, NY",43.0481221,-76.1474244,Gene Baye,1935
"New York, NY",40.7127281,-74.0060152,Gene Casali,1934
"Syracuse, NY",43.0481221,-76.1474244,Gene Casali,1935
"Nassau, NY",42.5159145,-73.6101159,Gene Casali,1935
"New York, NY",40.7127281,-74.0060152,Gene Casali,1935
"Pittsburgh, PA",40.4416941,-79.9900861,Gene Casali,1936
"Miami, FL",25.7741728,-80.19362,Gene Dana,1933
"Milwaukee, WI",43.0349931,-87.922497,Gene Dana,1933
"Miami, FL",25.7741728,-80.19362,Gene Dana,1934
"Chicago, IL",41.8755616,-87.6244212,Gene Dana,1934
"Kansas City, MO",39.100105,-94.5781416,Gene Dana,1935
"Cleveland, OH",41.5051613,-81.6934446,Gene Dana,1935
"San Antonio, TX",29.4246002,-98.4951405,Gene Dana,1935
"Chicago, IL",41.8755616,-87.6244212,Gene Dana,1935
"Miami, FL",25.7741728,-80.19362,Gene Dana,1935
"Cleveland, OH",41.5051613,-81.6934446,Gene Dana,1936
"San Antonio, TX",29.4246002,-98.4951405,Gene Dana,1936
"Chicago, IL",41.8755616,-87.6244212,Gene Dana,1936
"Miami, FL",25.7741728,-80.19362,Gene Dana,1936
"Jacksonville, FL",30.3321838,-81.655651,Gene Dana,1936
"Houston, TX",29.7589382,-95.3676974,Gene Dana,1937
"Reno, NV",39.5261206,-119.8126581,Gene Dana,1937
"Shreveport, LA",32.5221828,-93.7651944,Gene Dana,1937
"Hartford, CT",41.7655582,-72.69061276146614,Gene Dana,1937
"Miami, FL",25.7741728,-80.19362,Gene Dana,1938
"Miami, FL",25.7741728,-80.19362,Gene Dana,1939
"Detroit, MI",42.3315509,-83.0466403,Gene Dana,1940
"Syracuse, NY",43.0481221,-76.1474244,Gene Darling,1935
"Columbus, OH",39.9622601,-83.0007065,Gene Ford,1936
"St. Louis, MO",38.6529545,-90.24111656024635,Gene Ford,1938
"Kansas City, MO",39.100105,-94.5781416,Gene Gordon,1936
"Chicago, IL",41.8755616,-87.6244212,Gene Gordon,1936
"Cleveland, OH",41.5051613,-81.6934446,Gene Pearson,1932
"New York, NY",40.7127281,-74.0060152,Gene Pearson,1932
"New York, NY",40.7127281,-74.0060152,Gene Renee,1934
"Kansas City, MO",39.100105,-94.5781416,Gene Renee,1935
"New York, NY",40.7127281,-74.0060152,Gene Renee,1935
"Pittsburgh, PA",40.4416941,-79.9900861,Gene Renee,1936
"Hartford, CT",41.7655582,-72.69061276146614,Gene Renee,1938
"Massillon, OH",40.7965119,-81.5231597,George Hayes,1936
"Akron, OH",41.083064,-81.518485,George Hayes,1936
"Sandusky, OH",41.4561002,-82.7115813,George Hayes,1937
"Albany, NY",42.6511674,-73.754968,George Kelly,1935
"Saratoga Springs, NY",43.0821793,-73.7853915,George Kelly,1935
"Albany, NY",42.6511674,-73.754968,George Kelly,1939
"Miami, FL",25.7741728,-80.19362,George Kelly,1939
"Saratoga Springs, NY",43.0821793,-73.7853915,George Kelly,1939
"Albany, NY",42.6511674,-73.754968,George Kelly,1940
"Miami, FL",25.7741728,-80.19362,George Kelly,1940
"Cincinnati, OH",39.1014537,-84.5124602,George McDowell,1934
"Chicago, IL",41.8755616,-87.6244212,George McDowell,1934
"Chicago, IL",41.8755616,-87.6244212,George Oliver,1933
"Chicago, IL",41.8755616,-87.6244212,George Oliver,1934
"New York, NY",40.7127281,-74.0060152,George Parker,1939
"New York, NY",40.7127281,-74.0060152,Georgie Burns,1938
"Cleveland, OH",41.5051613,-81.6934446,Georgie Kaye,1935
"Miami, FL",25.7741728,-80.19362,Georgie Kaye,1935
"San Antonio, TX",29.4246002,-98.4951405,Georgie Kaye,1936
"Albany, NY",42.6511674,-73.754968,Gerald Francis,1934
"Philadelphia, PA",39.9527237,-75.1635262,Giggles Craig,1937
"Centralia, IL",38.5250491,-89.1334037,Gilda Gray,1939
"Corpus Christi, TX",27.7477253,-97.4014129,Gita Gilmore,1936
"Massillon, OH",40.7965119,-81.5231597,Gita Gilmore,1937
"Akron, OH",41.083064,-81.518485,Gita Gilmore,1937
"Rock Island, IL",41.4411786,-90.5766144,Gita Gilmore,1938
"Detroit, MI",42.3315509,-83.0466403,Gita Gilmore,1940
"Albany, NY",42.6511674,-73.754968,Gorda Davies,1939
"Albany, NY",42.6511674,-73.754968,Gorda Davies,1940
"New York, NY",40.7127281,-74.0060152,Gus Dreyfus,1938
"Kansas City, MO",39.100105,-94.5781416,Gypsy Dolan,1935
"Kansas City, MO",39.100105,-94.5781416,Gypsy Dolan,1936
"Chicago, IL",41.8755616,-87.6244212,Gypsy Dolan,1936
"Chicago, IL",41.8755616,-87.6244212,Half-Pint Jaxon,1934
"Milwaukee, WI",43.0349931,-87.922497,Harild Ishem,1935
"New York, NY",40.7127281,-74.0060152,Harry Bernie,1936
"Kansas City, MO",39.100105,-94.5781416,Harry E. Brewster,1935
"Cincinnati, OH",39.1014537,-84.5124602,Harry Fink,1934
"St. Louis, MO",38.6529545,-90.24111656024635,Harry Fink,1938
"Miami, FL",25.7741728,-80.19362,Harry Kelly,1934
"New York, NY",40.7127281,-74.0060152,Harry Pepper,1935
"Albany, NY",42.6511674,-73.754968,Harvey Lee,1935
"Saratoga Springs, NY",43.0821793,-73.7853915,Harvey Lee,1935
"San Antonio, TX",29.4246002,-98.4951405,Harvey Lee,1936
"Cleveland, OH",41.5051613,-81.6934446,Harvey Lee,1936
"New York, NY",40.7127281,-74.0060152,Harvey Lee,1936
"Pittsburgh, PA",40.4416941,-79.9900861,Helen Humes,1937
"Akron, OH",41.083064,-81.518485,Helen Mack,1937
"Massillon, OH",40.7965119,-81.5231597,Helen Tustin,1936
"Akron, OH",41.083064,-81.518485,Helen Tustin,1936
"New York, NY",40.7127281,-74.0060152,Henri St. Charles,1935
"Chicago, IL",41.8755616,-87.6244212,Herman Ferdinand,1938
"Baltimore, MD",39.2908816,-76.610759,Hot-Cha Hinton,1936
"Colorado Springs, CO",38.8339578,-104.8253485,Hot-Cha Hinton,1939
"Hartford, CT",41.7655582,-72.69061276146614,Howard Parsons,1938
"Lansing, MI",42.7337712,-84.5553805,Ina Gaskill,1936
"Sandusky, OH",41.4561002,-82.7115813,Irvin Mazzie,1937
"Richmond, IN",33.715307,-117.7629546,Irvin Mazzie,1937
"Albany, NY",42.6511674,-73.754968,J. John Howard,1934
"New York, NY",40.7127281,-74.0060152,J. â€”,1939
"New York, NY",40.7127281,-74.0060152,Jabby Caruso,1934
"New York, NY",40.7127281,-74.0060152,Jabby Caruso,1935
"New York, NY",40.7127281,-74.0060152,Jack Caruso,1935
"Detroit, MI",42.3315509,-83.0466403,Jack Craig,1940
"Miami, FL",25.7741728,-80.19362,Jack Hughes,1933
"Zanesville, OH",39.9403453,-82.0131924,Jack Leystan,1938
"New York, NY",40.7127281,-74.0060152,Jack Mason,1930
"New York, NY",40.7127281,-74.0060152,Jack Mason,1933
"Paterson, NJ",40.9167654,-74.171811,Jack Mason,1934
"Glens Falls, NY",43.309941,-73.644447,Jack Mason,1934
"Albany, NY",42.6511674,-73.754968,Jack Mason,1934
"New York, NY",40.7127281,-74.0060152,Jack Mason,1934
"Baltimore, MD",39.2908816,-76.610759,Jack Mason,1935
"Albany, NY",42.6511674,-73.754968,Jack Mason,1935
"New York, NY",40.7127281,-74.0060152,Jack Mason,1935
"Saratoga Springs, NY",43.0821793,-73.7853915,Jack Mason,1935
"New York, NY",40.7127281,-74.0060152,Jack Mason,1936
"New York, NY",40.7127281,-74.0060152,Jack Mason,1938
"New York, NY",40.7127281,-74.0060152,Jack Polle,1934
"Atlantic City, NJ",39.3642852,-74.4229351,Jackie Adams,1933
"New York, NY",40.7127281,-74.0060152,Jackie Adams,1934
"Baltimore, MD",39.2908816,-76.610759,Jackie Adams,1935
"New York, NY",40.7127281,-74.0060152,Jackie Adams,1935
"Albany, NY",42.6511674,-73.754968,Jackie Adams,1935
"Buffalo, NY",42.8867166,-78.8783922,Jackie Adams,1935
"Baltimore, MD",39.2908816,-76.610759,Jackie Adams,1936
"Kansas City, MO",39.100105,-94.5781416,Jackie Adams,1937
"Nassau, NY",42.5159145,-73.6101159,Jackie Adams,1937
"Indianapolis, IN",39.7683331,-86.1583502,Jackie Adams,1937
"Minneapolis, MN",44.9772995,-93.2654692,Jackie Dayton,1938
"Oklahoma City, OK",35.4729886,-97.5170536,Jackie Dayton,1938
"New York, NY",40.7127281,-74.0060152,Jackie Giggles,1934
"Albany, NY",42.6511674,-73.754968,Jackie Giggles,1935
"New York, NY",40.7127281,-74.0060152,Jackie Giggles,1935
"Asbury Park, NJ",40.2203907,-74.0120817,Jackie Giggles,1935
"Columbus, OH",39.9622601,-83.0007065,Jackie Giggles,1937
"Benton Harbor, MI",42.1167065,-86.4541894,Jackie Lane,1934
"Olean, NY",42.0774779,-78.4298613,Jackie Lane,1935
"New York, NY",40.7127281,-74.0060152,Jackie Lane,1935
"Jamestown, NY",42.0970023,-79.2353259,Jackie Lane,1935
"Syracuse, NY",43.0481221,-76.1474244,Jackie Lane,1935
"Binghamton, NY",42.096968,-75.914341,Jackie Lane,1935
"Scranton, PA",41.4086874,-75.6621294,Jackie Lane,1935
"Lansing, MI",42.7337712,-84.5553805,Jackie Lane,1936
"Benton Harbor, MI",42.1167065,-86.4541894,Jackie Lane,1936
"Sandusky, OH",41.4561002,-82.7115813,Jackie Lane,1937
"Richmond, IN",33.715307,-117.7629546,Jackie Lane,1937
"Benton Harbor, MI",42.1167065,-86.4541894,Jackie Lane,1937
"Benton Harbor, MI",42.1167065,-86.4541894,Jackie Lane,1938
"New York, NY",40.7127281,-74.0060152,Jackie Law,1933
"New York, NY",40.7127281,-74.0060152,Jackie Lee,1933
"Hartford, CT",41.7655582,-72.69061276146614,Jackie Lee,1938
"San Francisco, CA",37.7790262,-122.4199061,Jackie Lopez,1938
"San Francisco, CA",37.7790262,-122.4199061,Jackie Lopez,1939
"New York, NY",40.7127281,-74.0060152,Jackie Lorraine,1934
"Albany, NY",42.6511674,-73.754968,Jackie Lorraine,1935
"Syracuse, NY",43.0481221,-76.1474244,Jackie Lynch,1935
"New York, NY",40.7127281,-74.0060152,Jackie Maye,1930
"New York, NY",40.7127281,-74.0060152,Jackie Maye,1931
